stock_name,symbol,start_date,end_date,baostock_available,comment,
股票名称,股票代码,起始日期,截止日期,baostock数据可用？,备注,后缀上海=SS，深圳=SZ
沪深300指数,000300.SS,2018/1/1,2025/4/30,,,
沪深300ETF,159919.SZ,2018/1/1,2025/4/30,N,ETF无数据,
中证500,000905.SS,2018/1/1,2025/4/30,,,
上证50,000016.SS,2018/1/1,2025/4/30,,,
创业板指,399006.SZ,2018/1/1,2025/4/30,,,
科创50,000688.SS,2020/1/1,2025/4/30,N,2019.12.31上市,
中证1000,000852.SS,2018/1/1,2025/4/30,,,
全指医药,000991.SS,2018/1/1,2025/4/30,,,
中证军工,399967.SZ,2018/1/1,2025/4/30,,,
中证传媒,399971.SZ,2018/1/1,2025/4/30,N,,
基建工程,399995.SZ,2018/1/1,2025/4/30,N,,
家用电器,930697.SZ,2018/1/1,2025/4/30,N,,
国新港股通央企红利,931722.SZ,2018/1/1,2025/4/30,N,,
央企股东回报,932039.SZ,2018/1/1,2025/4/30,N,,
中国互联网30,930604.SZ,2018/1/1,2025/4/30,N,,
CS创新药,931152.SZ,2018/1/1,2025/4/30,N,,
国证芯片,980017.SZ,2018/1/1,2025/4/30,N,,
快速测试,399000.SZ,2014/1/1,2025/4/30,,快速测试,
,399001.SZ,2014/1/1,2025/4/30,,,
,399002.SZ,2014/1/1,2025/4/30,,,
,399003.SZ,2014/1/1,2025/4/30,,,
,399004.SZ,2014/1/1,2025/4/30,,,
,399005.SZ,2014/1/1,2025/4/30,,,
,399006.SZ,2014/1/1,2025/4/30,,,
,399007.SZ,2014/1/1,2025/4/30,,,
,399008.SZ,2014/1/1,2025/4/30,,,
,399009.SZ,2014/1/1,2025/4/30,,,
,399010.SZ,2014/1/1,2025/4/30,,,
,399011.SZ,2014/1/1,2025/4/30,N,,
,399012.SZ,2014/1/1,2025/4/30,N,,
,399013.SZ,2014/1/1,2025/4/30,N,,
,399014.SZ,2014/1/1,2025/4/30,N,,
,399015.SZ,2014/1/1,2025/4/30,N,,
